,direction,speed
1113,290.0,3.0
1114,90.0,2.0
1115,160.0,4.0
1116,50.0,3.0
1117,160.0,2.0
1118,320.0,1.0
1119,40.0,3.0
1120,360.0,3.0
1121,200.0,2.0
1122,180.0,1.0
1123,160.0,5.0
1124,90.0,3.0
1125,320.0,1.0
1126,360.0,2.0
1127,40.0,2.0
1128,50.0,2.0
1129,270.0,1.0
1130,360.0,3.0
1131,70.0,4.0
1132,50.0,2.0
1133,140.0,5.0
1134,250.0,4.0
1135,250.0,6.0
1136,230.0,2.0
1137,90.0,2.0
1138,110.0,2.0
1139,320.0,3.0
1140,360.0,1.0
1141,70.0,2.0
1142,250.0,3.0
1143,270.0,2.0
1144,70.0,2.0
1145,250.0,2.0
1146,250.0,3.0
1147,360.0,1.0
1148,270.0,1.0
1149,250.0,2.0
1150,50.0,1.0
1151,140.0,4.0
1152,140.0,4.0
1153,200.0,1.0
1154,250.0,3.0
1155,360.0,2.0
1156,230.0,2.0
1157,230.0,2.0
1158,250.0,5.0
1159,250.0,2.0
1160,50.0,1.0
1161,90.0,2.0
1162,320.0,2.0
1163,50.0,8.0
1164,20.0,3.0
1165,160.0,2.0
1166,220.0,6.0
1167,20.0,1.0
1168,110.0,2.0
1169,200.0,2.0
1170,230.0,6.0
1171,160.0,2.0
1172,50.0,5.0
1173,50.0,4.0
1174,230.0,2.0
1175,140.0,2.0
1176,360.0,3.0
1177,90.0,1.0
1178,50.0,2.0
1179,270.0,7.0
1180,270.0,2.0
1181,70.0,2.0
1182,270.0,1.0
1183,160.0,2.0
1184,140.0,3.0
1185,320.0,2.0
1186,180.0,2.0
1187,50.0,2.0
1188,270.0,2.0
1189,200.0,3.0
1190,360.0,3.0
1191,230.0,8.0
1192,270.0,3.0
1193,230.0,2.0
1194,270.0,1.0
1195,140.0,6.0
1196,50.0,1.0
1197,230.0,8.0
1198,110.0,3.0
1199,40.0,3.0
1200,290.0,2.0
1201,140.0,2.0
1202,250.0,3.0
1203,360.0,3.0
1204,180.0,2.0
1205,270.0,1.0
1206,270.0,6.0
1207,200.0,1.0
1208,230.0,2.0
1209,20.0,3.0
1210,40.0,2.0
1211,180.0,2.0
1212,110.0,1.0
1213,250.0,5.0
1214,230.0,2.0
1215,140.0,1.0
1216,360.0,2.0
1217,230.0,2.0
1218,220.0,2.0
1219,250.0,3.0
1220,230.0,8.0
1221,320.0,6.0
1222,50.0,5.0
1223,20.0,6.0
1224,110.0,4.0
1225,250.0,3.0
1226,270.0,4.0
1227,200.0,3.0
1228,230.0,8.0
